;Stopkode;Pos.nr.;Kode til stoppunkt;Short name;Længdegrad;Breddegrad;Long name;GPS-radius;Oprettet;UTM32_Easting;UTM32_Northing
8559;77510060;9;775100609;NORDHOLT;9,35432924;56,59375511;Nordholtvej (Viborg Kom);50;05/07/2022;521758;6272222
8560;77510070;1;775100701;SKRINGHOVE;9,40345904;56,55849925;Skringstrupvej/Hovedgaden (Viborg Kom);50;05/07/2022;524798;6268314
8561;77510070;2;775100702;SKRINGHOVE;9,40331800;56,55846300;Skringstrupvej/Hovedgaden (Viborg Kom);50;05/07/2022;524790;6268310
8562;77510080;1;775100801;INDUSTRIPA;9,40032773;56,56138182;Industriparken/Hovedgaden (Viborg Kom);50;05/07/2022;524604;6268634
8563;77510080;2;775100802;INDUSTRIPA;9,40016052;56,56134650;Industriparken/Hovedgaden (Viborg Kom);50;05/07/2022;524594;6268630
8564;77510090;9;775100909;PRÆSTE;9,33594390;56,59443400;Præstevej (Viborg Kom);50;05/07/2022;520629;6272292
8565;77520010;9;775200109;TOSTRUPKIR;9,46585161;56,62041300;Tostrup Kirke (Viborg Kom);50;05/07/2022;528586;6275230
8566;77520020;9;775200209;STORETORUP;9,36419960;56,64759279;Store Torup (Viborg Kom);50;05/07/2022;522332;6278217
8567;77520030;9;775200309;FRISTRUP;9,61634774;56,61471527;Fristrup (Viborg Kom);50;05/07/2022;537827;6274669
8568;77520040;1;775200401;SUNDSTRUP;9,30323741;56,60695207;Sundstrup (Viborg Kom);50;05/07/2022;518614;6273676
8569;77520050;9;775200509;TOLSTRUP;9,33654501;56,61706344;Tolstrup (Viborg Kom);50;05/07/2022;520653;6274811
8570;77520060;1;775200601;MØLDRUP;9,50254233;56,62035872;Møldrup (Viborg Kom);50;05/07/2022;530838;6275240
8571;77520060;2;775200602;MØLDRUP;9,50274575;56,62043335;Møldrup (Viborg Kom);50;05/07/2022;530850;6275248
8572;77530010;1;775300101;ULBJERGKIR;9,34505147;56,62712040;Ulbjerg Kirke (Viborg Kom);50;05/07/2022;521170;6275933
8573;77530010;2;775300102;ULBJERGKIR;9,34485359;56,62710599;Ulbjerg Kirke (Viborg Kom);50;05/07/2022;521158;6275931
8574;77530020;9;775300209;ROUMKIRKE;9,55201329;56,60567539;Roum Kirke (Viborg Kom);50;05/07/2022;533887;6273629
8575;77530040;9;775300409;LÅSTRUPFOR;9,38911794;56,58158315;Låstrup Forsamlingshus (Viborg Kom);50;05/07/2022;523902;6270879
8576;77530050;9;775300509;NØRREMARK;9,39245139;56,59760699;Nørremarkvej (Viborg Kom);50;05/07/2022;524097;6272663
8577;77530060;9;775300609;Ulbjskole;9,34437848;56,62300821;Ulbjerg Skole (Viborg Kom);50;05/07/2022;521131;6275475
8578;77700010;1;777000101;DURUP TORV;8,94847116;56,74430465;Durup Torv (Skive kom);50;05/07/2022;496848;6288924
8579;77700010;2;777000102;DURUP TORV;8,94844172;56,74435681;Durup Torv (Skive kom);50;05/07/2022;496846;6288930
8580;77700011;1;777000111;DURUPKIRKE;8,95537854;56,74404161;Durup Kirke (Skive kom);50;05/07/2022;497270;6288895
